sample	K1	K2	K3	K4	K5
And_222	0	0.0003	0	0.9997	0
And_225	0	0.3333	0.6667	0	0
And_226	0	0.3333	0.6667	0	0
And_227	0.3333	0	0	0	0.6667
And_228	0	0.2589	0.2643	0.4768	0
And_229	0	0.7463	0.0003	0.2533	0
And_232	0	0.3333	0.6667	0	0
And_233	0	0.3333	0.6667	0	0
And_234	0	0.3333	0.6667	0	0
And_235	0	0.3333	0.6667	0	0
And_236	0.8793	0.0217	0.0017	0.0973	0
And_237	0.8792	0.0214	0.002	0.0974	0
And_238	0	0.3333	0.6667	0	0
And_239	0	0.3528	0.2784	0.3688	0
And_240	0	0.354	0.2774	0.3686	0
And_241	0	0.357	0.275	0.368	0
And_242	0	0.7467	0.0003	0.253	0
And_243	0	1	0	0	0
And_244	0	1	0	0	0
And_245	0	0.2611	0.2648	0.4741	0
And_246	0.0003	0.3096	0.3062	0.3756	0.0083
And_247	0.0003	0.312	0.3006	0.3787	0.0083
And_248	0	0.0003	0	0.9997	0
And_249	0	1	0	0	0
And_250	0	1	0	0	0
And_251	0	0.747	0.0003	0.2527	0
And_252	0.0003	0.2927	0.2773	0.426	0.0037
And_253	0	0.0003	0	0.9997	0
And_254	0.666	0.0003	0.0003	0	0.3333
And_255	0	0.3333	0.6667	0	0
And_256	0	0.3333	0.6667	0	0
And_257	0	0.3333	0.6667	0	0
And_258	0	0.3529	0.2782	0.3689	0
And_259	0.0013	0.242	0.2483	0.4967	0.0117
And_260	0	0.0003	0.9997	0	0
And_261	0	0	0.9993	0.0007	0
And_262	0	0	1	0	0
And_263	0.1966	0.108	0.0653	0.5908	0.0393
And_265	0.2482	0.132	0.038	0.166	0.4157
And_266	0.2487	0.1301	0.0377	0.1665	0.4171
And_267	0	0.3333	0.6667	0	0
And_268	0	0.2679	0.2604	0.4703	0.0013
And_271	0.3204	0.0937	0.1721	0.3074	0.1064
And_272	0.6027	0.002	0.004	0.2216	0.1697
And_273	0	0.3818	0.1884	0.4278	0.002
