FID	IID	BLIGHT
0	560	0.67970297
0	561	0.67648515
0	562	0.67834158
0	563	0.68613861
0	565	0.67314356
0	566	0.6677599
0	567	0.67741337
0	568	0.67357673
0	569	0.66553218
0	570	0.66633663
0	571	0.67951733
0	572	0.67413366
0	574	0.67011139
0	575	0.6802599
0	576	0.67970297
0	577	0.6647896
0	580	0.68193069
0	581	0.68285891
0	582	0.68217822
0	583	0.68570545
0	584	0.67933168
0	585	0.67957921
0	586	0.6664604
0	589	0.675
0	590	0.6637995
0	591	0.66992574
0	592	0.67196782
0	593	0.67178218
0	594	0.68094059
0	98	0.65371287
0	425	0.67537129
0	427	0.68100248
0	428	0.67716584
0	524	0.67277228
0	595	0.68471535
0	596	0.68929455
0	597	0.69931931
0	598	0.68805693
0	599	0.67772277
0	600	0.68780941
0	601	0.68242574
0	602	0.68137376
0	603	0.68199257
0	604	0.67636139
0	605	0.69016089
0	606	0.68780941
0	607	0.68063119
0	608	0.6802599
0	609	0.67444307
0	610	0.68199257
0	611	0.69034653
0	612	0.68929455
0	613	0.67852723
0	614	0.67667079
0	615	0.6782797
0	616	0.68007426
0	617	0.67580446
0	618	0.66058168
0	619	0.67914604
0	620	0.66101485
0	621	0.68038366
0	622	0.68304455
0	623	0.68384901
0	624	0.67716584
0	625	0.67741337
0	626	0.66998762
0	627	0.66144802
0	628	0.68304455
0	629	0.68261139
0	630	0.67691832
0	631	0.66955446
0	632	0.68508663
0	633	0.68657178
0	634	0.67407178
0	636	0.68966584
0	637	0.6710396
0	638	0.66961634
0	639	0.66899752
0	640	0.68539604
0	641	0.67388614
0	642	0.68143564
0	643	0.6950495
0	644	0.69028465
0	646	0.69071782
0	647	0.68347772
0	648	0.67592822
0	649	0.69560644
0	650	0.68706683
0	652	0.6825495
0	653	0.68013614
0	654	0.67079208
0	655	0.65012376
0	656	0.66311881
0	657	0.67475248
0	658	0.67023515
0	659	0.67840347
0	661	0.67741337
0	662	0.67920792
0	663	0.6762995
0	664	0.6707302
